,RF,GF,BF,color
137,236,208,205,1
138,236,218,219,1
139,229,175,141,11
140,205,169,130,16
141,115,78,56,8
142,218,190,193,5
143,205,153,128,0
144,196,165,148,16
145,223,202,192,2
146,224,216,220,5
147,244,225,234,14
148,237,215,201,15
149,239,194,153,10
150,238,220,222,3
151,234,212,199,11
152,199,170,162,5
153,198,161,150,10
154,231,175,147,1
155,223,190,194,3
156,227,196,192,0
157,239,219,219,4
158,250,214,202,9
159,223,192,186,11
160,218,192,188,11
161,215,195,190,11
162,206,182,175,10
