"(210.33333333333334, 169.33333333333334, 160.0)","(225.16666666666666, 138.66666666666666, 146.33333333333334)"
"(248.0, 202.66666666666666, 192.0)","(225.5, 129.66666666666666, 112.0)"
"(189.66666666666666, 132.66666666666666, 126.0)","(164.83333333333334, 75.66666666666667, 91.0)"
"(206.33333333333334, 181.0, 175.0)","(181.83333333333334, 125.33333333333333, 132.33333333333334)"
"(222.66666666666666, 190.0, 173.66666666666666)","(227.16666666666666, 183.0, 183.16666666666666)"
"(239.0, 218.33333333333334, 213.33333333333334)","(216.5, 145.66666666666666, 153.66666666666666)"
"(232.33333333333334, 206.66666666666666, 200.0)","(224.66666666666666, 128.0, 142.16666666666666)"
"(223.66666666666666, 186.66666666666666, 178.33333333333334)","(221.66666666666666, 126.66666666666667, 149.0)"
"(186.0, 155.0, 143.33333333333334)","(171.83333333333334, 108.33333333333333, 117.16666666666667)"
"(221.66666666666666, 188.0, 176.66666666666666)","(207.0, 143.5, 153.16666666666666)"
"(232.0, 213.0, 212.0)","(203.0, 133.66666666666666, 146.0)"
"(192.33333333333334, 147.33333333333334, 133.0)","(165.0, 86.5, 95.33333333333333)"
"(223.33333333333334, 191.66666666666666, 173.66666666666666)","(214.83333333333334, 130.16666666666666, 150.33333333333334)"
"(243.66666666666666, 220.0, 216.0)","(205.16666666666666, 127.83333333333333, 132.0)"
"(223.0, 162.33333333333334, 153.66666666666666)","(175.33333333333334, 81.66666666666667, 82.66666666666667)"
"(247.0, 227.0, 220.66666666666666)","(236.16666666666666, 176.5, 201.83333333333334)"
"(178.33333333333334, 144.33333333333334, 128.0)","(194.0, 142.33333333333334, 135.66666666666666)"
"(241.33333333333334, 198.66666666666666, 167.33333333333334)","(228.5, 122.33333333333333, 104.33333333333333)"
"(226.0, 199.33333333333334, 201.0)","(224.66666666666666, 159.33333333333334, 195.16666666666666)"
"(245.0, 180.0, 134.66666666666666)","(228.16666666666666, 138.33333333333334, 111.5)"
"(197.66666666666666, 146.33333333333334, 140.66666666666666)","(195.16666666666666, 90.66666666666667, 88.16666666666667)"
"(244.33333333333334, 219.33333333333334, 199.33333333333334)","(227.0, 159.66666666666666, 160.16666666666666)"
"(236.0, 206.66666666666666, 208.33333333333334)","(214.83333333333334, 136.0, 152.5)"
"(213.0, 158.33333333333334, 134.0)","(173.0, 81.5, 82.66666666666667)"
"(216.0, 201.33333333333334, 204.33333333333334)","(213.0, 156.0, 174.66666666666666)"
